State,Name,Division,"Lyme Group (# / n (%, 95% CI))","TBRF Group (# / n (%, 95% CI))"
Connecticut,Fairfield,New England,"3/16 (18.8, 5-46.3)","0/16 (0, 0-24.1)"
Connecticut,Hartford,New England,"2/23 (8.7, 1.5-29.5)","1/23 (4.3, 0.2-24)"
Connecticut,Litchfield,New England,"1/8 (12.5, 0.7-53.3)","0/8 (0, 0-40.2)"
Connecticut,Middlesex,New England,"0/11 (0, 0-32.1)","0/11 (0, 0-32.1)"
Connecticut,New haven,New England,"2/12 (16.7, 2.9-49.1)","0/12 (0, 0-30.1)"
Connecticut,New london,New England,"3/13 (23.1, 6.2-54)","0/13 (0, 0-28.3)"
Connecticut,Tolland,New England,"8/14 (57.1, 29.6-81.2)","0/14 (0, 0-26.8)"
Connecticut,Windham,New England,"3/8 (37.5, 10.2-74.1)","0/8 (0, 0-40.2)"
Maine,Androscoggin,New England,"2/14 (14.3, 2.5-43.8)","0/14 (0, 0-26.8)"
Maine,Aroostook,New England,"0/3 (0, 0-69)","0/3 (0, 0-69)"
Maine,Cumberland,New England,"13/67 (19.4, 11.1-31.2)","1/67 (1.5, 0.1-9.1)"
Maine,Franklin,New England,"0/3 (0, 0-69)","0/3 (0, 0-69)"
Maine,Hancock,New England,"6/46 (13, 5.4-27)","0/46 (0, 0-9.6)"
Maine,Kennebec,New England,"5/22 (22.7, 8.7-45.8)","0/22 (0, 0-18.5)"
Maine,Knox,New England,"9/29 (31, 16-51)","0/29 (0, 0-14.6)"
Maine,Lincoln,New England,"5/26 (19.2, 7.3-40)","0/26 (0, 0-16)"
Maine,Oxford,New England,"0/3 (0, 0-69)","0/3 (0, 0-69)"
Maine,Penobscot,New England,"8/33 (24.2, 11.7-42.6)","0/33 (0, 0-13)"
Maine,Piscataquis,New England,"0/2 (0, 0-80.2)","0/2 (0, 0-80.2)"
Maine,Sagadahoc,New England,"2/17 (11.8, 2.1-37.7)","0/17 (0, 0-22.9)"
Maine,Somerset,New England,"0/7 (0, 0-43.9)","0/7 (0, 0-43.9)"
Maine,Waldo,New England,"4/25 (16, 5.3-36.9)","0/25 (0, 0-16.6)"
Maine,Washington,New England,"0/4 (0, 0-60.4)","0/4 (0, 0-60.4)"
Maine,York,New England,"4/38 (10.5, 3.4-25.7)","0/38 (0, 0-11.4)"
